Country,Total,Employment_Age,Employed,Employed_percent,Canton,Date
Türkei,72,48,7,0.14583333333333334,NE,2022-02
Gesamttotal,272,168,71,0.42261904761904762,NW,2022-02
Äthiopien,1,1,1,1,NW,2022-02
Eritrea,95,56,29,0.5178571428571429,NW,2022-02
Afghanistan,13,9,0,0,NW,2022-02
China (Volksrepublik),1,1,0,0,NW,2022-02
Irak,1,1,0,0,NW,2022-02
Iran,7,7,4,0.5714285714285714,NW,2022-02
Sri Lanka,36,24,17,0.70833333333333337,NW,2022-02
Syrien,51,26,11,0.42307692307692307,NW,2022-02
Türkei,58,39,9,0.23076923076923078,NW,2022-02
Gesamttotal,173,96,45,0.46875,OW,2022-02
Eritrea,90,46,19,0.41304347826086957,OW,2022-02
Afghanistan,1,1,1,1,OW,2022-02
China (Volksrepublik),12,9,8,0.88888888888888884,OW,2022-02
Irak,0,0,0,-,OW,2022-02
Iran,1,1,0,0,OW,2022-02
Sri Lanka,24,12,9,0.75,OW,2022-02
Syrien,20,13,4,0.30769230769230771,OW,2022-02
Türkei,6,5,1,0.2,OW,2022-02
Gesamttotal,3020,1792,815,0.45479910714285715,SG,2022-02
Äthiopien,52,30,17,0.56666666666666665,SG,2022-02
Eritrea,1341,795,397,0.49937106918238994,SG,2022-02
Somalia,84,44,23,0.52272727272727271,SG,2022-02
Afghanistan,185,101,38,0.37623762376237624,SG,2022-02
China (Volksrepublik),40,32,24,0.75,SG,2022-02
Irak,56,35,15,0.42857142857142855,SG,2022-02
Iran,35,27,13,0.48148148148148145,SG,2022-02
Sri Lanka,227,159,108,0.67924528301886788,SG,2022-02
Syrien,592,303,120,0.39603960396039606,SG,2022-02
Türkei,266,183,27,0.14754098360655737,SG,2022-02
Gesamttotal,715,462,189,0.40909090909090912,SH,2022-02
Äthiopien,2,2,1,0.5,SH,2022-02
Eritrea,306,188,87,0.46276595744680848,SH,2022-02
Somalia,16,7,2,0.2857142857142857,SH,2022-02
Afghanistan,32,22,10,0.45454545454545453,SH,2022-02
China (Volksrepublik),23,16,10,0.625,SH,2022-02
Irak,19,12,2,0.16666666666666666,SH,2022-02
Iran,9,6,1,0.16666666666666666,SH,2022-02
Sri Lanka,76,52,31,0.59615384615384615,SH,2022-02
Syrien,150,102,36,0.35294117647058826,SH,2022-02
Türkei,64,42,5,0.11904761904761904,SH,2022-02
Gesamttotal,2055,1253,511,0.40782122905027934,SO,2022-02
Äthiopien,33,17,8,0.47058823529411764,SO,2022-02
Eritrea,934,565,252,0.44601769911504424,SO,2022-02
Somalia,36,18,5,0.27777777777777779,SO,2022-02
Afghanistan,113,66,23,0.34848484848484851,SO,2022-02
China (Volksrepublik),30,18,10,0.55555555555555558,SO,2022-02
Irak,47,31,5,0.16129032258064516,SO,2022-02
Iran,28,26,13,0.5,SO,2022-02
Sri Lanka,169,126,71,0.56349206349206349,SO,2022-02
Syrien,396,231,86,0.37229437229437229,SO,2022-02
Türkei,133,86,19,0.22093023255813954,SO,2022-02
Gesamttotal,1039,632,279,0.44145569620253167,SZ,2022-02
Äthiopien,10,6,4,0.66666666666666663,SZ,2022-02
Eritrea,377,228,123,0.53947368421052633,SZ,2022-02
Somalia,2,2,1,0.5,SZ,2022-02
Afghanistan,88,50,21,0.42,SZ,2022-02
China (Volksrepublik),24,20,18,0.9,SZ,2022-02
Irak,41,22,5,0.22727272727272727,SZ,2022-02
Iran,11,9,3,0.33333333333333331,SZ,2022-02
Sri Lanka,85,61,34,0.55737704918032782,SZ,2022-02
Syrien,247,140,49,0.35,SZ,2022-02
Türkei,120,74,13,0.17567567567567569,SZ,2022-02
Gesamttotal,821,518,240,0.46332046332046334,TG,2022-02
Äthiopien,22,12,5,0.41666666666666669,TG,2022-02
Eritrea,335,215,125,0.58139534883720934,TG,2022-02
Somalia,19,11,2,0.18181818181818182,TG,2022-02
Afghanistan,44,26,8,0.30769230769230771,TG,2022-02
China (Volksrepublik),19,15,6,0.4,TG,2022-02
Irak,3,3,2,0.66666666666666663,TG,2022-02
Iran,19,17,9,0.52941176470588236,TG,2022-02
Sri Lanka,53,35,27,0.77142857142857146,TG,2022-02
